date,text,likes,retweets,link
2020-10-14,@brunobiancoleal 🤝,708,56,https://twitter.com/jairbolsonaro/status/1316509749085696006
2020-10-14,@MInfraestrutura @AmazoniaAzulBR @tarcisiogdf 🇧🇷🤝,1467,137,https://twitter.com/jairbolsonaro/status/1316492267159519237
2020-10-14,"- Existe um modelo econômico que conseguiu o impossível:
### Argentina sem carne. 
### Venezuela sem petróleo.
### Cuba sem açúcar. https://t.co/shqNS7AGDu",60966,15747,https://twitter.com/jairbolsonaro/status/1316329427308023808
2020-10-13,"- Live com o Ministro Capitão @tarcisiogdf sobre avanços de obras, desburocratizações, atração de investimentos para nosso país e mais:
. @MInfraestrutura 
. Link no YouTube: https://t.co/uw19neYYos",9820,1850,https://twitter.com/jairbolsonaro/status/1316133510764265473
2020-10-13,@tarcisiogdf 🤝🇧🇷,5994,284,https://twitter.com/jairbolsonaro/status/1316133329977081858
2020-10-13,- Governo Federal no combate à corrupção: https://t.co/gKLZelQfZJ,19761,4037,https://twitter.com/jairbolsonaro/status/1315980829886210049
2020-10-12,"- DIA DAS CRIANÇAS.
- Ribeira/SP, idos 1961.
- Saudoso pai e uma traíra de uns 10Kg.
- Boa noite a todos. https://t.co/yIEKu9TVpM",42665,3985,https://twitter.com/jairbolsonaro/status/1315783286334148608
2020-10-12,@tarcisiogdf @DNIToficial 🇧🇷,5829,367,https://twitter.com/jairbolsonaro/status/1315756644446482432
2020-10-12,"- Catedral Basílica de Nossa Senhora Aparecida.
- Imagens de 12/out/2019.
- Nosso respeito a todas as religiões.
- Brasil, um país majoritariamente cristão.
. No YouTube: https://t.co/dMmpMuwIrX https://t.co/O18b3kyfVU",24016,3979,https://twitter.com/jairbolsonaro/status/1315702314204909571
2020-10-12,"RT @CarlosBolsonaro: O 4º Distrito Naval ( @marmilbr )apoia com uma aeronave UH-15 o transporte de profissionais da área de saúde, além de materiais para atendimento à indígenas no Maranhão. Três toneladas de alimentos já foram distribuídas e mais de 19 mil índios receberam atendimento médico. https://t.co/b7jgJ5IljS",0,2077,https://twitter.com/jairbolsonaro/status/1315676730879811585
2020-10-12,"- Tem corrupção no Governo Bolsonaro?
- Dois anos sem Lava Jato para JB.
- Já, para alguns governadores, a Lava Jato continua, tá ok?
. Link no YouTube: https://t.co/zeabRY6Seo https://t.co/caO9WLESXq",22492,5590,https://twitter.com/jairbolsonaro/status/1315644652633182208
2020-10-12,"- PROGRAMA LIXÃO ZERO: modernização do licenciamento do processamento ambiental. 
. @rsallesmma @mmeioambiente 
. Mais ações do Governo do Brasil siga as redes sociais dos Ministérios.
. No YouTube: https://t.co/2z7kQlg3Tr https://t.co/wnXHu0g49d",14051,3183,https://twitter.com/jairbolsonaro/status/1315610521954062336
2020-10-11,@ernestofaraujo 🤝🇧🇷,4598,294,https://twitter.com/jairbolsonaro/status/1315438597550505984
2020-10-11,"@TerezaCrisMS @govbr 🤝🇧🇷, Ministra!",4991,362,https://twitter.com/jairbolsonaro/status/1315327749507158022
2020-10-11,"- Ferrovia Norte-Sul, espinha dorsal de transporte no Brasil em fase de finalização. Via @MInfraestrutura @tarcisiogdf 
. No YouTube: https://t.co/YC42kfTdSA https://t.co/ZPWjoRem3f",15324,3345,https://twitter.com/jairbolsonaro/status/1315292657460051968
2020-10-11,"- Bate papo com a Alessandra (usuária do Facebook).
. Link no YouTube: https://t.co/texg6Kg3Vj",6584,1139,https://twitter.com/jairbolsonaro/status/1315271559502856197
2020-10-11,"- BOM DIA A TODOS.
- Bda AAAe/Guarujá/SP. https://t.co/rkQVFK9y1E",50319,3942,https://twitter.com/jairbolsonaro/status/1315254465029722114
2020-10-11,@CarlosBolsonaro Pode ser algo reprimido!,15176,1126,https://twitter.com/jairbolsonaro/status/1315248887683313665
2020-10-10,"- Em mais uma demonstração da sólida parceria entre Brasil e EUA, o @minsaude recebeu, em setembro, as duas últimas remessas de ventiladores pulmonares doados pelo governo americano via USAID, completando os mil equipamentos prometidos pelo Presidente @realDonaldTrump . 🇧🇷🤝🇺🇸",26701,4660,https://twitter.com/jairbolsonaro/status/1315064499884494849
2020-10-10,@Marceloscf2 👍🇧🇷,1548,111,https://twitter.com/jairbolsonaro/status/1315045273815658496
2020-10-10,"- Guarujá/SP, 10/10/20. https://t.co/0ZgPSAjDmV",21794,3340,https://twitter.com/jairbolsonaro/status/1315045271492087809
2020-10-10,@tarcisiogdf 👍🇧🇷,6049,335,https://twitter.com/jairbolsonaro/status/1314971669065236481
2020-10-10,"- A agenda do Presidente, 03 a 09 de outubro.
- Os PF que salvaram a vida do Presidente em 2018.
- Ações e combate corrupção. @mincomunicacoes 
. No YouTube: https://t.co/EAgTsRADC3 https://t.co/1Ze2J730Fu",11880,2251,https://twitter.com/jairbolsonaro/status/1314862072363134977
2020-10-09,"RT @secomvc: A @PRFBrasil interceptou, na noite dessa quarta (7), uma ambulância transportando 1.536 kg de maconha em Ponta Porã (MS). Dois homens foram presos em flagrante. A carga é avaliada em mais de R$ 1,5 milhão. https://t.co/23o2iLKRRl",0,1090,https://twitter.com/jairbolsonaro/status/1314704131823722496
2020-10-09,"- Programa / ABRACE O MARAJÓ.
. @DHumanosBrasil @DamaresAlves 
. Link no YouTube: https://t.co/CYNOhqNLO2 https://t.co/48n6bgWAfy",10864,2141,https://twitter.com/jairbolsonaro/status/1314701330443907072
2020-10-09,- Pronunciamento em Breves/Ilha de Marajó: https://t.co/IGHicv5TUL,3015,507,https://twitter.com/jairbolsonaro/status/1314649103834415105
2020-10-09,https://t.co/ZUCFlQoTEC,13891,2346,https://twitter.com/jairbolsonaro/status/1314618789854679041
2020-10-09,"- 9 de outubro
- Morria na Bolívia o facínora comunista Che Guevara, cujo legado só inspira marginais, drogados e a escória da esquerda. Com seu fim, o comunismo perdia força na América Latina, mas voltaria via Foro de SP, o qual seguimos combatendo.
- Hoje tem Brasil x Bolívia https://t.co/is2FKUXoYj",59695,15752,https://twitter.com/jairbolsonaro/status/1314618747039215618
2020-10-09,"RT @CarlosBolsonaro: Operações de combate à corrupção não param. Além de etapas de outras operações, seguem mais ações dos últimos dias em municípios dos estados de Tocantins, Rio de Janeiro e Minas Gerais. Para informações diárias siga as redes sociais da @CGUonline @WRosarioCGU e @policiafederal . https://t.co/T1csgNVsRO",0,2256,https://twitter.com/jairbolsonaro/status/1314535922894082051
2020-10-09,"*- Realizei, no dia de hoje, o primeiro atendimento de auxílio emergencial na Agência-Barco da @Caixa , em Breves/Ilha de Marajó.*
*- Presidente JAIR BOLSONARO.*
. No YouTube: https://t.co/fmiUDTmAGh https://t.co/fRocEfP8Q4",23195,4415,https://twitter.com/jairbolsonaro/status/1314526841168855040
2020-10-09,- De Belém para Breves/Marajó. https://t.co/qBlnz7MASl,16623,2950,https://twitter.com/jairbolsonaro/status/1314488061460385792
2020-10-09,"- AGENDA E TEMAS: PARTE 5
. Caso Robson na Rússia; @ItamaratyGovBr 
. Candidatos pelo Brasil;
.  Indicações constitucionais;
. Foro de SP;
. Perguntas dos jornalistas dos Pingos nos Is:",5076,795,https://twitter.com/jairbolsonaro/status/1314368197844492292
2020-10-09,"- AGENDA E TEMAS: PARTE 4
. Novo Programa de Mineração e Desenvolvimento com preservação ao meio ambiente;
. Respeito ao limite do teto de gastos;
. A verdade sobre a lava-lato, que continua, “covidão”, operações sobre irregularidades na Petrobras e outros;",6017,968,https://twitter.com/jairbolsonaro/status/1314367931367686144
2020-10-09,"- AGENDA E TEMAS: PARTE 3
. Ampliação de financiamento a juros baixos para micro e pequenos empresários;
. Nova Agência Barco da @Caixa chegando em localidades por rios.
. Auxílio Emergencial, FGTS e BEm; @MinCidadania",3669,572,https://twitter.com/jairbolsonaro/status/1314367739172188160
2020-10-09,"- AGENDA E TEMAS: PARTE 2
. Programa @Caixa Refloresta: árvores para os 5 biomas do Brasil; @mmeioambiente 
.  Programa Voo Simples: simplificações que revolucionam a aviação; @MInfraestrutura 
. FakeNews, Privatizações e Turismo; @MTurismo / @MinEconomia",3577,591,https://twitter.com/jairbolsonaro/status/1314367332806950912
2020-10-09,"- AGENDA E TEMAS: PARTE 1
. Programa Mais Luz para a Amazônia; @Minas_Energia 
. Inauguração do Programa wi-fi na Praça, desta vez, em cidades do Pará (escolas e outras localidades públicas). @mincomunicacoes",4037,641,https://twitter.com/jairbolsonaro/status/1314366814336495616
2020-10-09,- Live de quinta-feira com o Presidente Bolsonaro diretamente da Ilha de Marajó. (08/10/2020). https://t.co/Wz8sNr7Sim,5825,905,https://twitter.com/jairbolsonaro/status/1314366390804021250
2020-10-09,"IMPOSTOS SOBRE JOGOS ELETRÔNICOS
- Em 2019, baixamos os impostos sobre jogos eletrônicos de 50% para 40%. Ontem, falei novamente com o Paulo Guedes para buscarmos uma nova redução, de 40% para 30%. Reconheço não ser o ideal, mas estamos avançando.
- Um abraço aos gamers! 👍",72161,9477,https://twitter.com/jairbolsonaro/status/1314366201359990784
2020-10-08,- Breves/Ilha de Marajo/Pará. https://t.co/61W7EXwmOB,17796,3685,https://twitter.com/jairbolsonaro/status/1314321020719898632
2020-10-08,@fabiofaria5555 🇧🇷🤝,2431,159,https://twitter.com/jairbolsonaro/status/1314318196619587585
2020-10-08,@tarcisiogdf @FloripaAirport @MInfraestrutura @SERPRO 🇧🇷,4248,281,https://twitter.com/jairbolsonaro/status/1314316935182647296
2020-10-08,- Mais uma mentira (FAKE NEWS). https://t.co/E3EMvgzLA4,21339,4920,https://twitter.com/jairbolsonaro/status/1314290803712368640
2020-10-08,@MInfraestrutura 👉🏻,2009,155,https://twitter.com/jairbolsonaro/status/1314247880597819393
2020-10-08,- Discurso por ocasião da formatura da @policiafederal . https://t.co/rY1j1zVsA4,3557,663,https://twitter.com/jairbolsonaro/status/1314242327435767810
2020-10-08,"- Hoje pela manhã estive na formatura de 300 Policiais Federais em Brasília.
- Para 2021 abriremos concurso para mais 2.000.
- Hoje e amanhã estarei em Breves, na Ilha de Marajó/PA. @policiafederal @JusticaGovBR @AmendoncaMJSP https://t.co/lA72IHneMg",14199,2520,https://twitter.com/jairbolsonaro/status/1314236140933840897
2020-10-08,"@tarcisiogdf 🤝, Ministro!",5949,340,https://twitter.com/jairbolsonaro/status/1314184033795010566
2020-10-08,@rsallesmma 🤝,2568,161,https://twitter.com/jairbolsonaro/status/1314182154281267205
2020-10-08,@CarlosBolsonaro @CGUonline @WRosarioCGU @policiafederal 👍,3941,241,https://twitter.com/jairbolsonaro/status/1314162989675802624
2020-10-08,"- @alexandregarcia .
- Bom dia a todos.
. YouTube: https://t.co/mET7IwnZW4",10302,1983,https://twitter.com/jairbolsonaro/status/1314158811872100352
2020-10-08,"- Não basta dizer: ""a Amazônia é nossa.""
- DEVEMOS DESENVOLVÊ- LA.
. @mmeioambiente @rsallesmma 
. YouTube: https://t.co/Nth09aiIXk https://t.co/gn2K1XHXAI",20934,4773,https://twitter.com/jairbolsonaro/status/1314118710609743873
2020-10-07,"- Encaminhei mensagem para o Senado Federal indicando o Maj R/1 PMDF, atual Ministro da Secretaria Geral, Jorge Oliveira para exercer o cargo de Ministro do Tribunal de Contas da União. https://t.co/9HeASQJjPZ",19390,3003,https://twitter.com/jairbolsonaro/status/1313952563910377473
2020-10-07,@fabiofaria5555 @MInfraestrutura @oficial_Anac 🤝🇧🇷,2327,196,https://twitter.com/jairbolsonaro/status/1313943618361720839
